PORT,SEC,HOLDING_DATE,CURRENCY,BASE_CURRENCY,QTY,PRICE,MKT_VAL,BASE_MKT_VAL,ACCRUED
INCOME,CVNA,2026-01-30,USD,USD,22.3657,58.0,1297.21,1297.21,0.0
INCOME,GOOG,2026-01-30,USD,USD,473.9585,100.0,47395.85,47395.85,0.0
INCOME,GOOGL,2026-01-30,USD,USD,585.3688,101.0,59122.25,59122.25,0.0
INCOME,JPM,2026-01-30,USD,USD,268.541,106.0,28465.35,28465.35,0.0
INCOME,36225MBS1,2026-01-30,USD,USD,164.5244,97.25,16000.0,16000.0,1.92
INCOME,META,2026-01-30,USD,USD,251.8446,170.0,42813.58,42813.58,0.0
INCOME,MSFT,2026-01-30,USD,USD,908.1707,114.0,103531.46,103531.46,0.0
INCOME,NVDA,2026-01-30,USD,USD,878.2784,172.0,151063.89,151063.89,0.0
INCOME,912797AA1,2026-01-30,USD,USD,805.234,99.35,80000.0,80000.0,0.0
INCOME,91282Y2Y1,2026-01-30,USD,USD,479.2811,100.15,48000.0,48000.0,3.12
INCOME,91282Y5Y1,2026-01-30,USD,USD,485.83,98.8,48000.0,48000.0,4.56
INCOME,AAPL,2026-02-13,USD,USD,792.1462,161.0,127535.54,127535.54,0.0
INCOME,AMZN,2026-02-13,USD,USD,618.8693,110.0,68075.62,68075.62,0.0
INCOME,AVGO,2026-02-13,USD,USD,541.5766,101.0,54699.24,54699.24,0.0
INCOME,CASHUSD,2026-02-13,USD,USD,123558.55,1.0,123558.55,123558.55,0.0
INCOME,CVNA,2026-02-13,USD,USD,22.3657,58.0,1297.21,1297.21,0.0
INCOME,GOOG,2026-02-13,USD,USD,473.9585,100.0,47395.85,47395.85,0.0
INCOME,GOOGL,2026-02-13,USD,USD,585.3688,101.0,59122.25,59122.25,0.0
INCOME,JPM,2026-02-13,USD,USD,268.541,106.0,28465.35,28465.35,0.0
INCOME,36225MBS1,2026-02-13,USD,USD,164.5244,97.25,16000.0,16000.0,1.92
INCOME,META,2026-02-13,USD,USD,251.8446,170.0,42813.58,42813.58,0.0
INCOME,MSFT,2026-02-13,USD,USD,908.1707,114.0,103531.46,103531.46,0.0
INCOME,NVDA,2026-02-13,USD,USD,878.2784,172.0,151063.89,151063.89,0.0
INCOME,912797AA1,2026-02-13,USD,USD,805.234,99.35,80000.0,80000.0,0.0
INCOME,91282Y2Y1,2026-02-13,USD,USD,479.2811,100.15,48000.0,48000.0,3.12
INCOME,91282Y5Y1,2026-02-13,USD,USD,490.83,98.8,48494.0,48494.0,4.61
INCOME,AAPL,2026-02-27,USD,USD,734.2417,161.0,118212.91,118212.91,0.0
INCOME,AMZN,2026-02-27,USD,USD,646.1476,110.0,71076.24,71076.24,0.0
INCOME,AVGO,2026-02-27,USD,USD,519.7502,101.0,52494.77,52494.77,0.0
INCOME,CASHUSD,2026-02-27,USD,USD,127797.15,1.0,127797.15,127797.15,0.0
INCOME,CVNA,2026-02-27,USD,USD,22.5851,58.0,1309.94,1309.94,0.0
INCOME,GOOG,2026-02-27,USD,USD,513.6301,100.0,51363.01,51363.01,0.0
INCOME,GOOGL,2026-02-27,USD,USD,634.9892,101.0,64133.91,64133.91,0.0
INCOME,JPM,2026-02-27,USD,USD,256.252,106.0,27162.71,27162.71,0.0
INCOME,36225MBS1,2026-02-27,USD,USD,164.5244,97.25,16000.0,16000.0,1.92
INCOME,META,2026-02-27,USD,USD,274.6065,170.0,46683.1,46683.1,0.0
INCOME,MSFT,2026-02-27,USD,USD,810.1001,114.0,92351.41,92351.41,0.0
INCOME,NVDA,2026-02-27,USD,USD,902.3954,172.0,155212.0,155212.0,0.0
INCOME,912797AA1,2026-02-27,USD,USD,805.234,99.35,80000.0,80000.0,0.0
INCOME,91282Y2Y1,2026-02-27,USD,USD,479.2811,100.15,48000.0,48000.0,3.12
INCOME,91282Y5Y1,2026-02-27,USD,USD,487.83,98.8,48197.6,48197.6,4.58
INCOME,AAPL,2026-03-31,USD,USD,795.8861,161.0,128137.66,128137.66,0.0
INCOME,AMZN,2026-03-31,USD,USD,604.1321,110.0,66454.53,66454.53,0.0
INCOME,AVGO,2026-03-31,USD,USD,533.7418,101.0,53907.92,53907.92,0.0
INCOME,CASHUSD,2026-03-31,USD,USD,128000.0,1.0,128000.0,128000.0,0.0
INCOME,CVNA,2026-03-31,USD,USD,23.4473,58.0,1359.94,1359.94,0.0
INCOME,GOOG,2026-03-31,USD,USD,504.7797,100.0,50477.97,50477.97,0.0
INCOME,GOOGL,2026-03-31,USD,USD,625.6955,101.0,63195.25,63195.25,0.0
INCOME,JPM,2026-03-31,USD,USD,268.0122,106.0,28409.29,28409.29,0.0
INCOME,36225MBS1,2026-03-31,USD,USD,164.5244,97.25,16000.0,16000.0,1.92
INCOME,META,2026-03-31,USD,USD,265.3883,170.0,45116.01,45116.01,0.0
INCOME,MSFT,2026-03-31,USD,USD,787.2281,114.0,89744.0,89744.0,0.0
INCOME,NVDA,2026-03-31,USD,USD,890.6827,172.0,153197.43,153197.43,0.0
INCOME,912797AA1,2026-03-31,USD,USD,805.234,99.35,80000.0,80000.0,0.0
INCOME,91282Y2Y1,2026-03-31,USD,USD,479.2811,100.15,48000.0,48000.0,3.12
INCOME,91282Y5Y1,2026-03-31,USD,USD,485.83,98.8,48000.0,48000.0,4.56
INCOME,AAPL,2026-04-30,USD,USD,793.5537,161.0,127762.14,127762.14,0.0
INCOME,AMZN,2026-04-30,USD,USD,630.6996,110.0,69376.96,69376.96,0.0
INCOME,AVGO,2026-04-30,USD,USD,542.1998,101.0,54762.18,54762.18,0.0
INCOME,CASHUSD,2026-04-30,USD,USD,128000.0,1.0,128000.0,128000.0,0.0
INCOME,CVNA,2026-04-30,USD,USD,23.8497,58.0,1383.28,1383.28,0.0
INCOME,GOOG,2026-04-30,USD,USD,490.2993,100.0,49029.93,49029.93,0.0
INCOME,GOOGL,2026-04-30,USD,USD,605.5333,101.0,61158.86,61158.86,0.0
