Portfolio Code,Security Symbol,Security Type,Transaction Date,Amount,Base Amount,Base Currency,Commission,Currency Code,Price,Quantity,Settlement Date,Source/Destination Symbol,Source/Destination Type,Special Security Symbol,Special Security Type,Transaction Code,Transaction Security Type
BALANCED,JPM,csus,2026-04-06,586.95,586.95,USD,0.0,USD,0.0,0.0,2026-04-30,$cash,$income,,,dv,csus
BALANCED,AAPL,csus,2026-05-06,-4004.96,-4004.96,USD,4.95,USD,287.51,13.9126,2026-05-07,CASHUSD,$cash,,,by,csus
BALANCED,AMZN,csus,2026-05-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-05-07,$cash,$income,,,dv,csus
INCOME,AAPL,csus,2025-12-04,-4004.95,-4004.95,USD,4.95,USD,280.7,14.2501,2025-12-05,CASHUSD,$cash,,,by,csus
INCOME,AMZN,csus,2025-12-04,100.0,100.0,USD,0.0,USD,0.0,0.0,2025-12-05,$cash,$income,,,dv,csus
INCOME,AAPL,csus,2026-01-06,-4004.94,-4004.94,USD,4.95,USD,262.36,15.2462,2026-01-07,CASHUSD,$cash,,,by,csus
INCOME,AMZN,csus,2026-01-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-01-07,$cash,$income,,,dv,csus
INCOME,CASHUSD,caus,2026-01-20,-100.0,-100.0,USD,0.0,USD,0.0,0.0,2026-01-20,$cash,$cash,custfee,exus,dp,caus
INCOME,AAPL,csus,2026-02-05,-4004.96,-4004.96,USD,4.95,USD,275.91,14.4975,2026-02-06,CASHUSD,$cash,,,by,csus
INCOME,AMZN,csus,2026-02-05,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-02-06,$cash,$income,,,dv,csus
INCOME,AAPL,csus,2026-03-05,-4004.96,-4004.96,USD,4.95,USD,260.29,15.3675,2026-03-06,CASHUSD,$cash,,,by,csus
INCOME,AMZN,csus,2026-03-05,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-03-06,$cash,$income,,,dv,csus
INCOME,AAPL,csus,2026-04-06,-4004.96,-4004.96,USD,4.95,USD,258.86,15.4524,2026-04-07,CASHUSD,$cash,,,by,csus
INCOME,AMZN,csus,2026-04-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-04-07,$cash,$income,,,dv,csus
INCOME,AAPL,csus,2026-05-06,-4004.96,-4004.96,USD,4.95,USD,287.51,13.9126,2026-05-07,CASHUSD,$cash,,,by,csus
INCOME,AMZN,csus,2026-05-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-05-07,$cash,$income,,,dv,csus
INCOME,91282Y2Y1,fius,2026-05-15,1280.0,1280.0,USD,0.0,USD,0.0,0.0,2026-05-15,$cash,$income,,,in,fius
DATAAUDIT,KO,csus,2026-03-30,0.0,0.0,USD,0.0,USD,0.0,0.0,2026-03-30,$cash,$cash,,,by,CSUS
DATAAUDIT,KO,csus,2026-03-31,0.0,0.0,USD,0.0,USD,0.0,0.0,2026-03-31,$cash,$cash,,,by,csus
DATAAUDIT,KO,csus,2026-03-31,0.0,0.0,USD,0.0,USD,0.0,0.0,2026-03-31,$cash,$cash,,,by,csus
DATAAUDIT,KO,csus,2026-03-31,0.0,0.0,USD,0.0,USD,0.0,10.0,2026-03-31,$cash,$cash,,,by,csus
BALANCED,SAP.DE,cseu,2026-01-12,-2000.01,-2180.0,USD,0.0,EUR,213.1,9.3853,2026-01-14,CASHEUR,$cash,,,by,cseu
BALANCED,SHEL.L,csgb,2026-02-16,1146.2,1270.0,USD,0.0,GBP,28.655,40.0,2026-02-18,CASHGBP,$cash,,,sl,csgb
BALANCED,SAP.DE,cseu,2026-04-15,150.0,162.0,USD,0.0,EUR,0.0,0.0,2026-04-15,CASHEUR,$income,,,dv,cseu
INCOME,MARGIN_USD,caus,2026-01-22,-28.75,-28.75,USD,0.0,USD,0.0,0.0,2026-01-22,$cash,$pth,margin,caus,ai,caus
BALANCED,JPM,csus,2026-03-20,1764.96,1764.96,USD,0.0,USD,294.16,6.0,2026-03-20,external_delivery,$pty,,,ti,csus
BALANCED,JPM,csus,2026-04-06,-88.04,-88.04,USD,0.0,USD,0.0,0.0,2026-04-30,$cash,$pty,with,epus,dp,csus
ALPHA,JPM,csus,2026-04-06,537.01,537.01,USD,0.0,USD,0.0,0.0,2026-04-07,$cash,$income,,,dv,csus
BALANCED_CONTRIBUTION,CASHUSD,caus,2026-03-20,2500.0,2500.0,USD,0.0,USD,0.0,0.0,2026-03-20,$cash,$pty,,,li,caus
ALPHA,CASHUSD,caus,2026-02-17,-2000.0,-2000.0,USD,0.0,USD,0.0,0.0,2026-02-17,$cash,$pty,,,lo,caus
ALPHA,91282Y5Y1,fius,2026-02-10,-8.0,-8.0,USD,0.0,USD,0.0,0.0,2026-02-10,$cash,$income,,,pa,fius
BALANCED,TSLA,csus,2026-05-15,21112.0,21112.0,USD,0.0,USD,422.24,50.0,2026-05-15,none,awus,,,ss,csus
BALANCED,TSLA,csus,2026-05-29,-21789.5,-21789.5,USD,0.0,USD,435.79,50.0,2026-05-29,$cash,$pty,,,cs,csus
BALANCED,JPM,csus,2026-04-18,240.0,240.0,USD,0.0,USD,0.0,0.0,2026-04-18,$cash,$pty,,,rc,csus
BALANCED,JPM,csus,2026-05-12,200.0,200.0,USD,0.0,USD,0.0,0.0,2026-05-12,,,,,rc,csus
INCOME,36225MBS1,fius,2026-05-18,320.0,320.0,USD,0.0,USD,0.0,0.0,2026-05-18,$cash,$pty,,,pd,fius
INCOME,91282Y5Y1,fius,2026-02-10,-598.2,-598.2,USD,0.0,USD,119.64,5.0,2026-02-10,CASHUSD,$cash,,,by,fius
INCOME,91282Y5Y1,fius,2026-02-10,-42.5,-42.5,USD,0.0,USD,0.0,0.0,2026-02-10,$cash,$income,,,pa,fius
INCOME,91282Y5Y1,fius,2026-02-20,360.06,360.06,USD,0.0,USD,120.02,3.0,2026-02-20,CASHUSD,$cash,,,sl,fius
INCOME,91282Y5Y1,fius,2026-02-20,37.25,37.25,USD,0.0,USD,0.0,0.0,2026-02-20,$cash,$income,,,sa,fius
INCOME,AAPL,csus,2026-05-14,220.97,220.97,USD,0.0,USD,0.0,0.0,2026-05-14,dvwash,$income,,,dv,csus
INCOME,AAPL,csus,2026-05-14,-220.97,-220.97,USD,0.0,USD,298.21,0.741,2026-05-14,dvwash,$cash,,,by,csus
