Portfolio Code,Security Symbol,Security Type,From Date,Thru Date,Security Return,Beginning Market Value,Beginning Weight,Contribution,Ending Market Value,Gain/Loss,Income
ALPHA,MSFT,csus,2026-01-31,2026-02-27,-0.0872667407,130620.21,0.131271263,-0.01145561527,119221.41,-11398.8,0.0
ALPHA,NVDA,csus,2026-01-31,2026-02-27,-0.0729346413,205613.68,0.2066385244,-0.015071106656,190617.32,-14996.36,0.0
ALPHA,912797AA1,fius,2026-01-31,2026-02-27,-0.0003280307,10029.55,0.0100795405,-3.306399e-06,10026.26,-3.29,0.0
ALPHA,91282Y2Y1,fius,2026-01-31,2026-02-27,0.0022884856,6012.71,0.0060426793,1.3828585e-05,6026.47,13.76,0.0
ALPHA,91282Y5Y1,fius,2026-01-31,2026-02-27,0.0114789095,6000.57,0.0060304788,6.922332e-05,6069.45,68.88,0.0
ALPHA,AAPL,csus,2026-02-28,2026-03-31,-0.0391764252,180208.52,0.1923770063,-0.007536643398,177021.17,-7192.31,0.0
ALPHA,AMZN,csus,2026-02-28,2026-03-31,-0.0070903565,87126.79,0.093009981,-0.000659473923,86409.03,-717.76,100.0
ALPHA,AVGO,csus,2026-02-28,2026-03-31,-0.0314190463,81621.51,0.0871329599,-0.002737634501,79057.04,-2564.47,0.0
ALPHA,CASHUSD,caus,2026-02-28,2026-03-31,-0.5077905359,7690.1,0.00820937,-0.004168640392,3785.14,-3904.96,0.0
ALPHA,CVNA,csus,2026-02-28,2026-03-31,-0.0591961768,1439.62,0.0015368296,-9.0974437e-05,1354.4,-85.22,0.0
ALPHA,GOOG,csus,2026-02-28,2026-03-31,-0.078894074,67154.22,0.0716887737,-0.005655819417,61856.15,-5298.07,0.0
ALPHA,GOOGL,csus,2026-02-28,2026-03-31,-0.0776237918,83931.87,0.0895993257,-0.006955039404,77416.76,-6515.11,0.0
ALPHA,JPM,csus,2026-02-28,2026-03-31,-0.0204462431,36303.98,0.0387553873,-0.00079240207,35561.7,-742.28,0.0
ALPHA,36225MBS1,fius,2026-02-28,2026-03-31,-0.0202236042,2035.74,0.0021732023,-4.3949983e-05,1994.57,-41.17,0.0
ALPHA,META,csus,2026-02-28,2026-03-31,-0.1173286172,57273.41,0.0611407671,-0.007173561658,50553.6,-6719.81,0.0
ALPHA,MSFT,csus,2026-02-28,2026-03-31,-0.0574680336,119221.41,0.1272717735,-0.007314058556,112369.99,-6851.42,0.0
ALPHA,NVDA,csus,2026-02-28,2026-03-31,-0.0157458409,190617.32,0.203488655,-0.003204099987,187615.89,-3001.43,0.0
ALPHA,912797AA1,fius,2026-02-28,2026-03-31,0.0002184264,10026.26,0.010703278,2.337878e-06,10028.45,2.19,0.0
ALPHA,91282Y2Y1,fius,2026-02-28,2026-03-31,-0.0073326508,6026.47,0.0064334042,-4.7173906e-05,5982.28,-44.19,0.0
ALPHA,91282Y5Y1,fius,2026-02-28,2026-03-31,-0.0175600755,6069.45,0.0064792864,-0.000113776758,5962.87,-106.58,0.0
ALPHA,AAPL,csus,2026-04-01,2026-04-30,0.0689533932,177021.17,0.1973548273,0.013608285007,193462.47,12436.34,0.0
ALPHA,AMZN,csus,2026-04-01,2026-04-30,0.2738321446,86409.03,0.0963344621,0.026379472356,109970.6,23561.57,100.0
ALPHA,AVGO,csus,2026-04-01,2026-04-30,0.3486800164,79057.04,0.0881379808,0.030731952591,106622.65,27565.61,0.0
ALPHA,CASHUSD,caus,2026-04-01,2026-04-30,-1.0316553681,3785.14,0.0042199227,-0.004353505906,-119.82,-3904.96,0.0
ALPHA,CVNA,csus,2026-04-01,2026-04-30,0.2589855286,1354.4,0.0015099741,0.00039106144,1705.17,350.77,0.0
ALPHA,GOOG,csus,2026-04-01,2026-04-30,0.3314509552,61856.15,0.0689612988,0.022857288359,82358.43,20502.28,0.0
ALPHA,GOOGL,csus,2026-04-01,2026-04-30,0.3381554588,77416.76,0.0863092889,0.029185957187,103595.66,26178.9,0.0
ALPHA,JPM,csus,2026-04-01,2026-04-30,0.0648287343,35561.7,0.0396465189,0.00257023364,37867.12,2305.42,0.0
ALPHA,36225MBS1,fius,2026-04-01,2026-04-30,-0.0017898595,1994.57,0.0022236776,-3.98007e-06,1991.0,-3.57,0.0
ALPHA,META,csus,2026-04-01,2026-04-30,0.0695295686,50553.6,0.0563604737,0.003918719422,54068.57,3514.97,0.0
ALPHA,MSFT,csus,2026-04-01,2026-04-30,0.1016019491,112369.99,0.1252774455,0.012728432641,123787.0,11417.01,0.0
ALPHA,NVDA,csus,2026-04-01,2026-04-30,0.1443234366,187615.89,0.2091665171,0.03018763057,214693.26,27077.37,0.0
ALPHA,912797AA1,fius,2026-04-01,2026-04-30,0.0,10028.45,0.0111803747,0.0,10028.45,0.0,0.0
ALPHA,91282Y2Y1,fius,2026-04-01,2026-04-30,-0.0010898855,5982.28,0.0066694387,-7.268925e-06,5975.76,-6.52,0.0
ALPHA,91282Y5Y1,fius,2026-04-01,2026-04-30,-0.0031209803,5962.87,0.0066477991,-2.074765e-05,5944.26,-18.61,0.0
ALPHA,AAPL,csus,2026-05-01,2026-05-29,0.1492111984,193462.47,0.1839083258,0.027441181688,226828.75,29361.32,0.0
ALPHA,AMZN,csus,2026-05-01,2026-05-29,0.0219612333,109970.6,0.1045397019,0.002295820783,112285.69,2315.09,100.0
ALPHA,AVGO,csus,2026-05-01,2026-05-29,0.0702872232,106622.65,0.1013570904,0.007124108436,114116.86,7494.21,0.0
ALPHA,CASHUSD,caus,2026-05-01,2026-05-29,32.5902186613,-119.82,-0.0001139027,-0.003712113899,-4024.78,-3904.96,0.0
ALPHA,CVNA,csus,2026-05-01,2026-05-29,-0.8155609118,1705.17,0.0016209602,-0.001321991779,314.5,-1390.67,0.0
ALPHA,GOOG,csus,2026-05-01,2026-05-29,-0.0144264528,82358.43,0.0782911589,-0.001129463709,81170.29,-1188.14,0.0
ALPHA,GOOGL,csus,2026-05-01,2026-05-29,-0.0115904469,103595.66,0.0984795883,-0.001141422439,102394.94,-1200.72,0.0
ALPHA,JPM,csus,2026-05-01,2026-05-29,-0.044440137,37867.12,0.0359970523,-0.001599713936,36184.3,-1682.82,0.0
ALPHA,36225MBS1,fius,2026-05-01,2026-05-29,0.0001054746,1991.0,0.0018926745,1.99629e-07,1991.21,0.21,0.0
ALPHA,META,csus,2026-05-01,2026-05-29,0.0336652144,54068.57,0.0513983936,0.00173033794,55888.8,1820.23,0.0
ALPHA,MSFT,csus,2026-05-01,2026-05-29,0.1041247465,123787.0,0.1176737789,0.012252752398,136676.29,12889.29,0.0
ALPHA,NVDA,csus,2026-05-01,2026-05-29,0.0579746192,214693.26,0.2040906332,0.011832076742,227140.02,12446.76,0.0
ALPHA,912797AA1,fius,2026-05-01,2026-05-29,0.0002183787,10028.45,0.009533195,2.081847e-06,10030.64,2.19,0.0
ALPHA,91282Y2Y1,fius,2026-05-01,2026-05-29,-0.0021821492,5975.76,0.0056806471,-1.239602e-05,5962.72,-13.04,0.0
ALPHA,91282Y5Y1,fius,2026-05-01,2026-05-29,-0.0041451753,5944.26,0.0056507027,-2.3423153e-05,5919.62,-24.64,0.0
BALANCED,AAPL,csus,2025-11-29,2025-12-31,-0.0252536049,155191.1,0.1551911,-0.003919134723,155191.1,-4004.95,0.0
BALANCED,AMZN,csus,2025-11-29,2025-12-31,0.0011934002,83794.19,0.08379419,0.000100000003,83794.19,0.0,100.0
BALANCED,AVGO,csus,2025-11-29,2025-12-31,0.0,77352.7,0.0773527,0.0,77352.7,0.0,0.0
BALANCED,CASHUSD,caus,2025-11-29,2025-12-31,0.0,64000.0,0.064,0.0,64000.0,0.0,0.0
BALANCED,CVNA,csus,2025-11-29,2025-12-31,0.0,1590.87,0.00159087,0.0,1590.87,0.0,0.0
BALANCED,GOOG,csus,2025-11-29,2025-12-31,0.0,59207.11,0.05920711,0.0,59207.11,0.0,0.0
BALANCED,GOOGL,csus,2025-11-29,2025-12-31,0.0,73732.49,0.07373249,0.0,73732.49,0.0,0.0
BALANCED,JPM,csus,2025-11-29,2025-12-31,0.0,34084.7,0.0340847,0.0,34084.7,0.0,0.0
BALANCED,36225MBS1,fius,2025-11-29,2025-12-31,0.00012,8000.0,0.008,9.6e-07,8000.96,0.96,0.0
BALANCED,META,csus,2025-11-29,2025-12-31,0.0,51035.06,0.05103506,0.0,51035.06,0.0,0.0
BALANCED,MSFT,csus,2025-11-29,2025-12-31,0.0,128458.07,0.12845807,0.0,128458.07,0.0,0.0
BALANCED,NVDA,csus,2025-11-29,2025-12-31,0.0,175553.72,0.17555372,0.0,175553.72,0.0,0.0
BALANCED,912797AA1,fius,2025-11-29,2025-12-31,0.0,40000.0,0.04,0.0,40000.0,0.0,0.0
BALANCED,91282Y2Y1,fius,2025-11-29,2025-12-31,6.5e-05,24000.0,0.024,1.56e-06,24001.56,1.56,0.0
BALANCED,91282Y5Y1,fius,2025-11-29,2025-12-31,9.54167e-05,23999.99,0.02399999,2.29e-06,24002.28,2.29,0.0
BALANCED,AAPL,csus,2026-01-01,2026-01-30,-0.0448875613,155191.1,0.1482012177,-0.006652391244,152080.08,-7115.96,0.0
BALANCED,AMZN,csus,2026-01-01,2026-01-30,0.0379319855,83794.19,0.0800200591,0.003035319721,86872.67,3078.48,100.0
BALANCED,AVGO,csus,2026-01-01,2026-01-30,-0.0427623082,77352.7,0.0738686969,-0.003158795983,74044.92,-3307.78,0.0
BALANCED,CASHUSD,caus,2026-01-01,2026-01-30,0.0102610937,64000.0,0.061117409,0.00062713146,64656.71,656.71,0.0
BALANCED,CVNA,csus,2026-01-01,2026-01-30,-0.0495452174,1590.87,0.0015192164,-7.5269907e-05,1512.05,-78.82,0.0
BALANCED,GOOG,csus,2026-01-01,2026-01-30,0.0788082715,59207.11,0.0565403931,0.00445585065,63873.12,4666.01,0.0
BALANCED,GOOGL,csus,2026-01-01,2026-01-30,0.0798722517,73732.49,0.070411543,0.005623928485,79621.67,5889.18,0.0
BALANCED,JPM,csus,2026-01-01,2026-01-30,-0.0506796305,34084.7,0.0325495086,-0.001649597069,32357.3,-1727.4,0.0
BALANCED,36225MBS1,fius,2026-01-01,2026-01-30,0.0049356577,8000.96,0.0076405929,3.7711351e-05,8040.45,39.49,0.0
BALANCED,META,csus,2026-01-01,2026-01-30,0.0854579185,51035.06,0.0487364162,0.004164912684,55396.41,4361.35,0.0
BALANCED,MSFT,csus,2026-01-01,2026-01-30,-0.1103480979,128458.07,0.1226722563,-0.013536650148,109989.78,-13906.64,0.0
BALANCED,NVDA,csus,2026-01-01,2026-01-30,0.0248257912,175553.72,0.1676466955,0.004161961858,179911.98,4358.26,0.0
BALANCED,912797AA1,fius,2026-01-01,2026-01-30,0.00295475,40000.0,0.0381983806,0.000112866665,40118.19,118.19,0.0
BALANCED,91282Y2Y1,fius,2026-01-01,2026-01-30,0.0020523666,24001.56,0.0229205181,4.7041306e-05,24050.82,49.26,0.0
BALANCED,91282Y5Y1,fius,2026-01-01,2026-01-30,0.0,24002.28,0.0229212057,0.0,24002.28,0.0,0.0
BALANCED,AAPL,csus,2026-01-31,2026-02-27,0.0166031549,152080.08,0.1462713675,0.002428566172,158664.67,2579.63,0.0
BALANCED,AMZN,csus,2026-01-31,2026-02-27,-0.1212893537,86872.67,0.0835545605,-0.010134278642,76235.94,-10636.73,100.0
BALANCED,AVGO,csus,2026-01-31,2026-02-27,-0.0354663088,74044.92,0.0712167676,-0.002525795871,71418.82,-2626.1,0.0
BALANCED,CASHUSD,caus,2026-01-31,2026-02-27,-0.0603952784,64656.71,0.0621871411,-0.0037558097,60751.75,-3904.96,0.0
BALANCED,CVNA,csus,2026-01-31,2026-02-27,-0.1669124698,1512.05,0.0014542971,-0.000242740321,1259.67,-252.38,0.0
BALANCED,GOOG,csus,2026-01-31,2026-02-27,-0.0800521409,63873.12,0.0614334804,-0.004917881629,58759.94,-5113.18,0.0
BALANCED,GOOGL,csus,2026-01-31,2026-02-27,-0.0776331368,79621.67,0.0765805131,-0.00594518545,73440.39,-6181.28,0.0
BALANCED,JPM,csus,2026-01-31,2026-02-27,-0.0182747015,32357.3,0.03112141,-0.000568734478,31765.98,-591.32,0.0
BALANCED,36225MBS1,fius,2026-01-31,2026-02-27,0.0127505301,8040.45,0.0077333443,9.8604239e-05,8142.97,102.52,0.0
BALANCED,META,csus,2026-01-31,2026-02-27,-0.0953523884,55396.41,0.0532805391,-0.005080426658,50114.23,-5282.18,0.0
BALANCED,MSFT,csus,2026-01-31,2026-02-27,-0.0872668352,109989.78,0.1057887104,-0.009231845956,100391.32,-9598.46,0.0
BALANCED,NVDA,csus,2026-01-31,2026-02-27,-0.0729346651,179911.98,0.1730402256,-0.012620630903,166790.16,-13121.82,0.0
BALANCED,912797AA1,fius,2026-01-31,2026-02-27,-0.000327283,40118.19,0.0385858721,-1.26285e-05,40105.06,-13.13,0.0
BALANCED,91282Y2Y1,fius,2026-01-31,2026-02-27,0.0022897348,24050.82,0.0231321967,5.2966596e-05,24105.89,55.07,0.0
BALANCED,91282Y5Y1,fius,2026-01-31,2026-02-27,0.0114789095,24002.28,0.0230855107,0.000264996488,24277.8,275.52,0.0
BALANCED,AAPL,csus,2026-02-28,2026-03-31,-0.0391560667,158664.67,0.1601104271,-0.006269294563,156324.63,-6345.0,0.0
BALANCED,AMZN,csus,2026-02-28,2026-03-31,-0.0069263919,76235.94,0.0769306041,-0.000532851513,75607.9,-628.04,100.0
BALANCED,AVGO,csus,2026-02-28,2026-03-31,-0.0314191693,71418.82,0.0720695904,-0.002264366662,69174.9,-2243.92,0.0
BALANCED,CASHUSD,caus,2026-02-28,2026-03-31,-0.0642773253,60751.75,0.0613053217,-0.003940542106,56846.79,-3904.96,0.0
BALANCED,CVNA,csus,2026-02-28,2026-03-31,-0.0591980439,1259.67,0.0012711482,-7.5249487e-05,1185.1,-74.57,0.0
BALANCED,GOOG,csus,2026-02-28,2026-03-31,-0.0788940561,58759.94,0.0592953623,-0.00467805164,54124.13,-4635.81,0.0
BALANCED,GOOGL,csus,2026-02-28,2026-03-31,-0.077623907,73440.39,0.074109581,-0.005752675223,67739.66,-5700.73,0.0
BALANCED,JPM,csus,2026-02-28,2026-03-31,-0.0204460873,31765.98,0.0320554325,-0.000655408171,31116.49,-649.49,0.0
BALANCED,36225MBS1,fius,2026-02-28,2026-03-31,-0.0202248074,8142.97,0.008217169,-0.00016619066,7978.28,-164.69,0.0
BALANCED,META,csus,2026-02-28,2026-03-31,-0.1173285512,50114.23,0.0505708723,-0.00593340718,44234.4,-5879.83,0.0
BALANCED,MSFT,csus,2026-02-28,2026-03-31,-0.0574679165,100391.32,0.1013060887,-0.005821849846,94622.04,-5769.28,0.0
BALANCED,NVDA,csus,2026-02-28,2026-03-31,-0.0157458929,166790.16,0.1683099568,-0.002650190554,164163.9,-2626.26,0.0
BALANCED,912797AA1,fius,2026-02-28,2026-03-31,0.000218177,40105.06,0.0404704985,8.829732e-06,40113.81,8.75,0.0
BALANCED,91282Y2Y1,fius,2026-02-28,2026-03-31,-0.0073334774,24105.89,0.0243255436,-0.000178390824,23929.11,-176.78,0.0
BALANCED,91282Y5Y1,fius,2026-02-28,2026-03-31,-0.0175613112,24277.8,0.02449902,-0.000430234914,23851.45,-426.35,0.0
BALANCED,AAPL,csus,2026-05-01,2026-05-08,0.0807010609,171333.91,0.1571805136,0.0126846342,189286.9,13948.03,0.0
BALANCED,AMZN,csus,2026-05-01,2026-05-08,0.0297874954,96224.27,0.0882754627,0.002629504939,98990.55,2766.28,100.0
BALANCED,AVGO,csus,2026-05-01,2026-05-08,0.0301128187,93294.82,0.0855880061,0.002577296111,96104.19,2809.37,0.0
BALANCED,CASHUSD,caus,2026-05-01,2026-05-08,-0.0732476974,53311.71,0.0489077846,-0.003582382607,49406.75,-3904.96,0.0
BALANCED,CVNA,csus,2026-05-01,2026-05-08,-0.803080367,1492.03,0.0013687777,-0.001099238498,293.81,-1198.22,0.0
BALANCED,GOOG,csus,2026-05-01,2026-05-08,0.0395611544,72063.62,0.0661106538,0.002615413782,74914.54,2850.92,0.0
BALANCED,GOOGL,csus,2026-05-01,2026-05-08,0.0415801214,90646.2,0.0831581809,0.003457727257,94415.28,3769.08,0.0
BALANCED,JPM,csus,2026-05-01,2026-05-08,-0.035532975,33133.73,0.0303966489,-0.001080083365,31956.39,-1177.34,0.0
BALANCED,36225MBS1,fius,2026-05-01,2026-05-08,0.0013724276,7963.99,0.0073061079,1.0027104e-05,7974.92,10.93,0.0
BALANCED,META,csus,2026-05-01,2026-05-08,-0.0037258508,47310.0,0.0434018584,-0.000161708849,47133.73,-176.27,0.0
BALANCED,MSFT,csus,2026-05-01,2026-05-08,0.0179998584,104235.82,0.0956252018,0.001721240092,106112.05,1876.23,0.0
BALANCED,NVDA,csus,2026-05-01,2026-05-08,0.0783182982,187856.61,0.1723383214,0.013497244047,202569.22,14712.61,0.0
BALANCED,912797AA1,fius,2026-05-01,2026-05-08,-0.0019641615,40113.81,0.0368001247,-7.2281388e-05,40035.02,-78.79,0.0
BALANCED,91282Y2Y1,fius,2026-05-01,2026-05-08,-0.002182151,23903.02,0.021928461,-4.7851213e-05,23850.86,-52.16,0.0
BALANCED,91282Y5Y1,fius,2026-05-01,2026-05-08,-0.0015224771,23777.04,0.0218128878,-3.3209622e-05,23740.84,-36.2,0.0
BALANCED,AAPL,csus,2026-05-09,2026-05-14,0.0166711484,189286.9,0.1676296548,0.002794578851,192442.53,3155.63,0.0
BALANCED,AMZN,csus,2026-05-09,2026-05-14,-0.0200234265,98990.55,0.0876645543,-0.00175534476,97008.42,-1982.13,0.0
BALANCED,AVGO,csus,2026-05-09,2026-05-14,0.0227674777,96104.19,0.085108437,0.001937704441,98292.24,2188.05,0.0
BALANCED,CASHUSD,caus,2026-05-09,2026-05-14,0.0,49406.75,0.0437538807,0.0,49406.75,0.0,0.0
BALANCED,CVNA,csus,2026-05-09,2026-05-14,-0.1079268915,293.81,0.0002601938,-2.8081908e-05,262.1,-31.71,0.0
BALANCED,GOOG,csus,2026-05-09,2026-05-14,0.0003023445,74914.54,0.066343199,2.0058501e-05,74937.19,22.65,0.0
BALANCED,GOOGL,csus,2026-05-09,2026-05-14,0.0006736198,94415.28,0.0836127635,5.6323213e-05,94478.88,63.6,0.0
BALANCED,JPM,csus,2026-05-09,2026-05-14,-0.0072492544,31956.39,0.0283001023,-0.000205154641,31724.73,-231.66,0.0
BALANCED,36225MBS1,fius,2026-05-09,2026-05-14,-0.0067448952,7974.92,0.0070624702,-4.7635621e-05,7921.13,-53.79,0.0
BALANCED,META,csus,2026-05-09,2026-05-14,0.0144348856,47133.73,0.0417409281,0.000602525522,47814.1,680.37,0.0
BALANCED,MSFT,csus,2026-05-09,2026-05-14,-0.0137068316,106112.05,0.0939712485,-0.001288048078,104657.59,-1454.46,0.0
BALANCED,NVDA,csus,2026-05-09,2026-05-14,0.0954461393,202569.22,0.1793922793,0.017122300479,221903.67,19334.45,0.0
BALANCED,912797AA1,fius,2026-05-09,2026-05-14,0.0005467713,40035.02,0.0354544165,1.9385457e-05,40056.91,21.89,0.0
BALANCED,91282Y2Y1,fius,2026-05-09,2026-05-14,-0.0017009869,23850.86,0.0211219658,-3.5928187e-05,23810.29,-40.57,0.0
BALANCED,91282Y5Y1,fius,2026-05-09,2026-05-14,-0.0049981382,23740.84,0.0210245337,-0.000105083525,23622.18,-118.66,0.0
BALANCED,AAPL,csus,2026-05-15,2026-05-29,0.0464437877,192442.53,0.16727152,0.007768722963,201380.29,8937.76,0.0
BALANCED,AMZN,csus,2026-05-15,2026-05-29,0.0127984767,97008.42,0.0843199571,0.001079167006,98249.98,1241.56,0.0
BALANCED,AVGO,csus,2026-05-15,2026-05-29,0.015871141,98292.24,0.0854358566,0.001355964527,99852.25,1560.01,0.0
BALANCED,CASHUSD,caus,2026-05-15,2026-05-29,0.0,49406.75,0.0429444685,0.0,49406.75,0.0,0.0
BALANCED,CVNA,csus,2026-05-15,2026-05-29,0.0499046166,262.1,0.000227818,1.136917e-05,275.18,13.08,0.0
BALANCED,GOOG,csus,2026-05-15,2026-05-29,-0.0522194654,74937.19,0.0651355897,-0.003401345673,71024.01,-3913.18,0.0
BALANCED,GOOGL,csus,2026-05-15,2026-05-29,-0.0516866838,94478.88,0.0821212747,-0.004244576359,89595.58,-4883.3,0.0
BALANCED,JPM,csus,2026-05-15,2026-05-29,-0.0020006474,31724.73,0.0275752133,-5.5168279e-05,31661.26,-63.47,0.0
BALANCED,36225MBS1,fius,2026-05-15,2026-05-29,0.0055168896,7921.13,0.0068850657,3.7984147e-05,7964.83,43.7,0.0
BALANCED,META,csus,2026-05-15,2026-05-29,0.0227673427,47814.1,0.0415601332,0.000946213795,48902.7,1088.6,0.0
BALANCED,MSFT,csus,2026-05-15,2026-05-29,0.0996751406,104657.59,0.0909686344,0.009067311424,115089.35,10431.76,0.0
BALANCED,NVDA,csus,2026-05-15,2026-05-29,-0.1043522624,221903.67,0.1928792153,-0.020127382486,198747.52,-23156.15,0.0
BALANCED,912797AA1,fius,2026-05-15,2026-05-29,0.0016391679,40056.91,0.0348175646,5.7071834e-05,40122.57,65.66,0.0
BALANCED,91282Y2Y1,fius,2026-05-15,2026-05-29,0.0017038852,23810.29,0.0206959626,3.5263544e-05,23850.86,40.57,0.0
BALANCED,91282Y5Y1,fius,2026-05-15,2026-05-29,0.0023841999,23622.18,0.0205324569,4.8953482e-05,23678.5,56.32,0.0
INCOME,AAPL,csus,2025-11-29,2025-12-31,-0.0310391392,125630.89,0.12563089,-0.003899474683,125630.89,-4004.95,0.0
INCOME,AMZN,csus,2025-11-29,2025-12-31,0.0014742002,67833.39,0.06783339,9.9999997e-05,67833.39,0.0,100.0
INCOME,AVGO,csus,2025-11-29,2025-12-31,0.0,62618.86,0.06261886,0.0,62618.86,0.0,0.0
INCOME,CASHUSD,caus,2025-11-29,2025-12-31,0.0,128000.0,0.128,0.0,128000.0,0.0,0.0
INCOME,CVNA,csus,2025-11-29,2025-12-31,0.0,1287.84,0.00128784,0.0,1287.84,0.0,0.0
INCOME,GOOG,csus,2025-11-29,2025-12-31,0.0,47929.57,0.04792957,0.0,47929.57,0.0,0.0
INCOME,GOOGL,csus,2025-11-29,2025-12-31,0.0,59688.2,0.0596882,0.0,59688.2,0.0,0.0
