Portfolio Code,Security Symbol,Security Type,Transaction Date,Amount,Base Amount,Base Currency,Commission,Currency Code,Price,Quantity,Settlement Date,Source/Destination Symbol,Source/Destination Type,Special Security Symbol,Special Security Type,Transaction Code,Transaction Security Type
DATAAUDIT,KO,csus,2026-03-30,0.0,0.0,USD,0.0,USD,0.0,0.0,2026-03-30,$cash,$cash,,,by,CSUS
DATAAUDIT,KO,csus,2026-03-31,0.0,0.0,USD,0.0,USD,0.0,0.0,2026-03-31,$cash,$cash,,,by,csus
DATAAUDIT,KO,csus,2026-03-31,0.0,0.0,USD,0.0,USD,0.0,0.0,2026-03-31,$cash,$cash,,,by,csus
DATAAUDIT,KO,csus,2026-03-31,0.0,0.0,USD,0.0,USD,0.0,10.0,2026-03-31,$cash,$cash,,,by,csus
BALANCED,SAP.DE,cseu,2026-01-12,-2000.01,-2180.0,USD,0.0,EUR,213.1,9.3853,2026-01-14,CASHEUR,$cash,,,by,cseu
BALANCED,SHEL.L,csgb,2026-02-16,1146.2,1270.0,USD,0.0,GBP,28.655,40.0,2026-02-18,CASHGBP,$cash,,,sl,csgb
BALANCED,SAP.DE,cseu,2026-04-15,120.0,129.6,USD,0.0,EUR,0.0,0.0,2026-04-15,CASHEUR,$income,,,dv,cseu
INCOME,MARGIN_USD,caus,2026-01-22,-18.75,-18.75,USD,0.0,USD,0.0,0.0,2026-01-22,$cash,$pth,margin,caus,ai,caus
BALANCED,JPM,csus,2026-03-20,1470.8,1470.8,USD,0.0,USD,294.16,5.0,2026-03-20,external_delivery,$pty,,,ti,csus
BALANCED,JPM,csus,2026-04-06,-22.21,-22.21,USD,0.0,USD,0.0,0.0,2026-04-30,$cash,$pty,with,epus,dp,csus
